Place Details,Small Requested,Small Receive,Medium Requested,Medium Receive,Large Requested,Large Receive,X-Large Requested,X-Large Receive
Body Length From HPS,25,25,26,26,27,27,28,27 1/2
Body Width Seam to Seam,16,16 1/4,16 1/2,16 1/2,17,17,17 1/2,17 1/2
Body Front 5 inches Below HPS,15 1/4,15,15 3/4,15 3/4,15 3/4,15 3/4,16 1/4,16
Body Back 5 inches Below HPS,15,15,15 1/2,15 1/2,15 1/2,15 1/2,16,16 1/4
Body Chest  1 inches Below Armhole,19 1/2,19 3/4,20 1/4,20 1/4,21,21,21 3/4,22
Body Waist 18 7/8 inches below HPS,18 1/2,19,19 1/2,20,20 1/2,20 1/2,21 1/2,21 1/2
Body Sweep,19,19,20,20,21,21,22,21 3/4
Body Trim Height Jersey Tubular,1,1,1,1,1,1,1,1 1/9
Neck Width  Seam to Seam,7,7 1/9,7 1/4,7,7 1/2,7 1/2,7 3/4,8
Neck FT Neck Drop to seam,3 1/2,4,3 3/4,4,4,4,4 1/4,4 1/9
Neck BK Neck Drop to seam,1,1 1/4,1,1 1/2,1,1,1,1 1/4
Neck Trim Height 1x1 rib, 3/4, 7/8, 3/4, 7/8, 3/4, 3/4, 3/4, 7/8
Sleeve Armhole Straight,9,9 1/9,9 1/2,9 1/2,10,10,10 1/2,10 1/2
Sleeve Sleeve Length Shoulder seam to cuff,23 1/2,23 3/4,24 1/2,24 1/2,25 1/2,25 1/2,26 1/2,26
Sleeve Bicep 1 inches below armhole,6 1/2,6 3/4,7,7 1/4,7 1/2,7 1/2,8,8 1/4
Sleeve Opening at rib edge,3 1/4,3 3/4,3 1/2,3 3/4,3 3/4,3 3/4,4,4 1/2
Sleeve Trim Height 1x1 rib,2,2 1/4,2,2 1/4,2,2,2,2 1/4
