Target No.,!TITLE!_JAPANESE,,,,,,,,,,,,T,!INDEX!
,,,,,,,,,,,,,,
,Unit(inch),BASE,USER,S,M,L,LL,*,*,*,*,*,�ʒu�ݒ�,%A0003
,WG<-->Shape,0,0,0,0,0,0,0,0,0,0,0,-,%A0056
,One-piece dress length,41.3386,41.3386,40.9449,41.3386,41.7323,42.1260,,,,,,T_Y/117/101/B_L/4595/4596,%T9001
T001,Body length,22.0472,  ,21.25,22.0625,22.84375,23.625,,,,,,Y/101/117,%A0251
,Back center length,,,,,,,,,,,,X/4000/4001/Y/3900/3901,%A0389
,Side length,,,,,,,,,,,,Y/107/116,%A0390
T002,Chest width,16.5354,16.53125,15.34375,16.53125,17.71875,19.09375,,,,,,BX/107/117,%A0097
T003,Shoulder width,13.3858,13.375,12.78125,13.375,13.96875,14.5625,,,,,,BX/102/117,%A0324
T010,Shoulder drop,,,,,,,,,,,,Y/102/101,%A0323
,Darts width,,,,,,,,,,,,L/4003/4005/L/4033/4035,%A0391
T069,Bust pos. from top,,,,,,,,,,,,Y/101/103,%A0252
T026,Front bust width,12.5984,12.59375,12,12.59375,13.1875,13.78125,,,,,,BX/103/117,%A0278
T006,Back bust width,,,,,,,,,,,,BX/3/21,%A0241
T005,Back neck width,6.4961,6.5,6.3125,6.5,6.6875,6.875,,,,,,BX/101/117,%A0244
,-,,,,,,,,,,,,-,%A0414
,Front neck drop (to fabric edge),0,0,0,0,0,0,,,,,,Y/520/101,%A0281
T007,Front neck drop (to linkline),1.5748,1.5625,1.5625,1.5625,1.5625,1.5625,,,,,,Y/520/101,%A0282
T009,Back neck drop ,0.7874,0.78125,0.59375,0.78125,0.96875,1.1875,,,,,,Y/501/1,%A0243
T011,Straight A.H.,7.4803,7.46875,7.09375,7.46875,7.875,8.28125,,,,,,L/102/107,%A0331
T023,Under arm pos. from top,,,,,,,,,,,,Y/101/107,%A0340
T028,Waist pos. from top,14.7638,14.75,14.375,14.75,15.15625,15.5625,,,,,,Y/101/110,%A0347
T022,@24 Waist width,15.3543,15.34375,14.1875,15.34375,16.53125,17.90625,,,,,,BX/110/117,%A0071
T013,@31 Hem length,1.9685,1.96875,1.96875,1.96875,1.96875,2.375,,,,,,Y/115/116,%A0074
T012,@24 Hem width,16.5354,16.53125,15.34375,16.53125,17.71875,19.09375,,,,,,BX/116/117,%A0070
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Total sleeve length,22.0472,22.0472,21.6535,22.0472,22.4409,22.8346,,,,,,T_L/202/215/C_L/6898/6662,%T9002
T063,Sleeve length,22.0472,22.0625,21.65625,22.0625,22.4375,22.84375,,,,,,SY/202/215,%A0328
,Total neck to sleeve length,28.7402,28.7402,28.3465,28.7402,29.1339,29.5276,,,,,,T_L/2497/2401/X/2401/2431/C_L/6898/6662,%T9003
T014,Neck to sleeve length,,,,0,,,,,,,,L/2497/2401/X/2401/2431,%A0300
T016,@46 Sleeve width,5.7087,5.71875,5.3125,5.71875,6.09375,6.5,,,,,,SX/229/201,%A0098
T019,@32 Cuff length,1.9685,1.96875,1.96875,1.96875,1.96875,1.96875,,,,,,SY/234/233,%A0075
T017,@47 Cuff width,4.1339,4.125,3.9375,4.125,4.34375,4.625,,,,,,SX/215/234,%A0099
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
T050,Collar width,5.9055,5.90625,5.90625,5.90625,5.90625,5.90625,,,,,,Y/1001/1002,%A0111
,@9# Collar width,,5.91,5.91,5.91,5.91,,,,,,,Y/1051/1050,%A0120
T042,Straight part(bottom of F neck line),0.7874,0.78125,0.78125,0.78125,0.96875,1.1875,,,,,,BX/521/520,%A0334
,Straight part(bottom of B neck line),,,,,,,,,,,,BX/501/502,%A0333
,SP neck width,,,,,,,,,,,,L/566/101,%A0330
,Connect pos. after SP neck,,,,,,,,,,,,-,%A0026
T043,V neckline adjust,,,,,,,,,,,,L/582/584,%A0343
,V back neckline adjust,,,,,,,,,,,,L/803/804,%A0342
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Neckline vertical size,,,,,,,,,,,,L/125/101,%A0386
,,,,,,,,,,,,,,
T020,Bind off width(front),0.3937,0.40625,0.40625,0.40625,0.40625,0.59375,,,,,,L/107/106,%A0250
T021,Bind off width(back),,,,,,,,,,,,L/7/6,%A0249
,A.H. trim width,,,,,,,,,,,,X/103/3643,%A0131
,@9# A.H. trim width,,,,,,,,,,,,X/103/3643,%A0130
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
T032,Curve part/A.H.depth ratio,0.3,0.3125,0.3125,0.3125,0.3125,0.3125,,,,,,Y/102/107/Y/107/105,%A0264
T033,Curve part/A.H.depth(B) ratio,,,,,,,,,,,,-,%A0265
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,AH�̐��@������Ƃ�����,,,,,,,,,,,,,
,�������ȁH,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,1.00,1.00,1.00,1.00,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,-,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
T044,Chest straight part,0.3937,0.40625,0.40625,0.40625,0.40625,0.40625,,,,,,Y/107/108,%A0256
T045,Waist straight part,0.7874,0.78125,0.78125,0.78125,0.78125,0.78125,,,,,,Y/109/111,%A0348
T047,Hem straight part,0.3937,0.40625,0.40625,0.40625,0.40625,0.40625,,,,,,Y/114/115,%A0291
T027,Straight part(sleeve width),0.3937,0.40625,0.40625,0.40625,0.40625,0.40625,,,,,,L/229/230,%A0337
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
T039,Diff. of body width(F>B),,,,,,,,,,,,X/107/121/X/7/21,%A0268
T067,Ease for A.H. (back body),0,0.40625,0.40625,0.40625,0.59375,0.59375,,,,,,Y/5/3,%A0325
T068,Ease below front side,,,,,,,,,,,,L/115/114/L/114/111/L/111/109/L/109/108/L/108/107,%A0381
,Len. to turn back F shoulder(N.P.),,,,,,,,,,,,L/101/2051,%A0297
,Len. to turn back F shoulder(S.P.),,,,,,,,,,,,L/102/2052,%A0298
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
T051,Height of sleeve cap,,,,,,,,,,,,SY/202/201,%A0290
,Width of flat sleeve cap,,,,,,,,,,,,LL2/224/202/LL2/202/204,%A0356
,Width of flat sleeve cap(half body),,,,,,,,,,,,LL2/224/202,%A0438
,,,,,,,,,,,,,,
,Sleeve cap expand width (upper),,,,,,,,,,,,SX/2322/201,%A0245
,Sleeve cap expand width (lower),,,,,,,,,,,,SX/2321/201,%A0246
